Customer_ID,Name,Age,Gender,Location,Join_Date,Total_Spent
2001,Nathan,47,Male,Denver,2024-11-24,687.88
2002,Isabella,48,Female,Seattle,2023-09-02,1799.09
2003,Rachel,30,Female,San Antonio,2024-03-03,470.26
2004,Fiona,22,Female,Jacksonville,2024-01-25,144.24
2005,Quinn,18,Male,Tucson,2025-02-03,686.13
2006,Bella,26,Female,El Paso,2024-12-21,317.52
2007,Thomas,28,Male,San Diego,2025-05-28,59.37
2008,George,29,Male,New York,2023-10-17,386.84
2009,Zoe,36,Female,Kansas City,2024-06-18,616.93
2010,Isaac,20,Male,El Paso,2023-09-05,593.59
2011,Bella,30,Female,Nashville,2024-01-21,521.03
2012,Penny,28,Female,Sacramento,2024-08-18,395.68
2013,Rachel,25,Female,Nashville,2023-09-03,1155.22
2014,Patrick,27,Male,Seattle,2024-01-07,59.92
2015,Nathan,23,Male,Atlanta,2024-12-02,169.85
2016,Charlotte,27,Female,Philadelphia,2024-09-16,166.86
2017,George,22,Male,Dallas,2024-01-23,421.41
2018,Tina,39,Female,Colorado Springs,2024-10-18,264.81
2019,Henry,31,Male,Chicago,2025-03-28,961.06
2020,Penny,49,Female,Fort Worth,2023-08-19,956.97
2021,Marcus,21,Male,Baltimore,2025-03-26,67.86
2022,George,46,Male,Phoenix,2025-01-06,864.6
2023,Maria,38,Female,Virginia Beach,2024-04-19,376.59
2024,William,38,Male,Washington DC,2023-12-06,966.23
2025,Isabella,49,Female,Fort Worth,2025-07-14,416.84
2026,Maria,31,Female,San Jose,2024-04-17,632.39
2027,Christopher,34,Male,Dallas,2023-10-21,337.18
2028,Marcus,40,Male,Las Vegas,2023-10-24,479.0
2029,Nina,32,Female,Indianapolis,2025-04-25,454.46
2030,Nina,37,Female,Detroit,2024-10-29,285.22
2031,Bella,18,Female,Baltimore,2025-03-27,317.87
2032,Tina,33,Female,San Diego,2025-01-29,111.63
2033,Fiona,43,Female,Phoenix,2024-09-09,575.04
2034,Isabella,41,Female,Las Vegas,2025-07-26,189.64
2035,Luna,26,Female,Fresno,2024-05-17,1173.46
2036,Benjamin,31,Male,Austin,2024-09-21,240.86
2037,Rachel,37,Female,Seattle,2025-04-12,511.74
2038,Isaac,40,Male,Denver,2024-11-09,442.88
2039,Christopher,43,Male,Mesa,2025-05-05,1008.77
2040,David,43,Male,Fort Worth,2024-10-10,225.1
2041,Diana,35,Female,Tucson,2025-01-11,435.87
2042,Zoe,44,Female,Long Beach,2023-09-17,259.58
2043,Katherine,18,Female,Phoenix,2024-01-28,799.75
2044,Kevin,42,Male,Baltimore,2024-03-13,131.81
2045,Katherine,43,Female,Portland,2023-10-12,99.71
2046,Nina,18,Female,Portland,2024-02-01,237.34
2047,Diana,45,Female,Colorado Springs,2023-10-27,282.69
2048,Robert,35,Male,Columbus,2024-03-05,294.02
2049,Liam,52,Male,New York,2024-11-21,253.65
2050,Kevin,29,Male,Mesa,2024-05-07,710.0
2051,Nathan,39,Male,Atlanta,2024-05-11,247.15
2052,Alexander,38,Male,Fresno,2024-01-15,173.07
2053,Hannah,25,Female,Fresno,2024-02-26,50.0
2054,Luna,41,Female,Indianapolis,2025-06-29,538.36
2055,Thomas,41,Male,Charlotte,2024-11-30,145.89
2056,Samuel,18,Male,Seattle,2024-11-02,279.07
2057,Nina,24,Female,San Diego,2023-12-18,106.2
2058,Kevin,35,Male,Charlotte,2025-01-28,730.19
2059,Christopher,40,Male,Long Beach,2023-12-12,348.46
2060,Patrick,54,Male,Denver,2024-05-18,716.91
2061,Christopher,23,Male,San Jose,2025-08-07,122.2
2062,Robert,43,Male,Dallas,2024-11-24,836.7
2063,Robert,46,Male,Houston,2024-09-25,358.43
2064,Victoria,40,Female,San Francisco,2024-12-27,344.04
2065,Nathan,31,Male,Long Beach,2025-04-22,90.72
2066,Henry,42,Male,New York,2025-03-04,108.04
2067,Victoria,28,Female,Detroit,2024-01-29,456.37
2068,Tina,40,Female,Colorado Springs,2023-09-07,102.22
2069,Bella,18,Female,Boston,2024-04-01,769.96
2070,Frank,47,Male,Kansas City,2024-02-26,495.81
2071,Quinn,22,Male,Dallas,2024-01-16,421.95
2072,Emma,30,Female,Virginia Beach,2025-07-04,171.76
2073,Samuel,23,Male,Boston,2025-05-16,516.6
2074,David,33,Male,New York,2024-04-01,490.84
2075,Alice,31,Female,Charlotte,2024-12-06,364.53
2076,Robert,34,Male,Jacksonville,2024-05-30,218.74
2077,Quinn,52,Male,Los Angeles,2025-06-13,833.9
2078,Maria,49,Female,Atlanta,2024-07-15,525.48
2079,George,34,Male,Portland,2024-02-24,1002.46
2080,Victoria,32,Female,Indianapolis,2024-02-11,1113.32
2081,Tina,25,Female,Colorado Springs,2024-09-28,349.7
2082,Nina,31,Female,Columbus,2024-02-23,820.59
2083,Grace,27,Female,Charlotte,2024-10-15,436.83
2084,Victor,31,Male,Seattle,2025-06-01,50.0
2085,Nathan,42,Male,Atlanta,2024-06-01,140.79
